Timestamp,Location,Vehicle Count,Avg Speed,Density
2025-04-09 20:04:25.932646,CRP Square,27,28,24.17
2025-04-09 20:04:35.934119,Jaydev Vihar,43,64,34.84
2025-04-09 20:04:35.934119,Rupali Square,145,28,225.5
2025-04-09 20:04:35.934119,CRP Square,42,78,48.01
2025-04-09 20:04:45.940557,Jaydev Vihar,58,34,37.6
2025-04-09 20:04:45.942383,Rupali Square,18,59,23.97
2025-04-09 20:04:45.943384,CRP Square,142,41,200.24
2025-04-09 20:04:55.944411,Jaydev Vihar,127,73,120.99
2025-04-09 20:04:55.945417,Rupali Square,150,32,113.9
2025-04-09 20:04:55.945417,CRP Square,47,54,26.3
2025-04-09 20:05:05.947425,Jaydev Vihar,39,80,41.49
2025-04-09 20:05:05.949225,Rupali Square,146,76,127.27
2025-04-09 20:05:05.949225,CRP Square,70,47,57.25
2025-04-09 20:05:15.950938,Jaydev Vihar,94,53,73.2
2025-04-09 20:05:15.951607,Rupali Square,10,42,8.84
2025-04-09 20:05:15.952698,CRP Square,62,76,50.89
2025-04-09 20:05:25.953663,Jaydev Vihar,121,29,88.92
2025-04-09 20:05:25.953663,Rupali Square,76,77,150.55
2025-04-09 20:05:25.953663,CRP Square,12,61,12.77
2025-04-09 20:05:35.957280,Jaydev Vihar,70,60,55.22
2025-04-09 20:05:35.958973,Rupali Square,103,40,79.71
2025-04-09 20:05:35.960449,CRP Square,38,80,70.0
2025-04-09 20:05:45.962642,Jaydev Vihar,102,30,87.52
2025-04-09 20:05:45.963644,Rupali Square,13,28,10.37
2025-04-09 20:05:45.964644,CRP Square,118,72,203.74
2025-04-09 20:05:55.966260,Jaydev Vihar,11,21,14.98
2025-04-09 20:05:55.975420,Rupali Square,146,76,102.48
2025-04-09 20:05:55.978520,CRP Square,17,44,22.03
